Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
6.50127 | 9.5
11.7 | 26.3
5.71 | 32.3
5.69 | 41
8.68 | 50.2
7 | 70.8643
10 | 70.8643
4 | 78.5942
2 | 86.5199
6 | 66.0083

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
23.148 | 50.3
4.4 | 85.4
8.35 | 122
7.59 | 146
8.98 | 173
10 | 46.0225
9 | 37.0262
14 | 26.5306
13 | 26.5306
14 | 14.2857

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
23.6354 | 30.6
21.9 | 68.2
9.09 | 127
8.39 | 141
18.7 | 182
4 | 60.3431
14 | 37.0262
10 | 46.0225
10 | 37.0262
8 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
18.5448 | 58.7
11.9 | 117
23 | 189
10.5 | 214
17 | 246
11 | 37.0262
9 | 46.0225
11 | 37.0262
12 | 26.5306
6 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
13.577 | 33.2
14.6 | 86.7
10.2 | 121
9.35 | 147
10.2 | 184
5 | 53.7336
9 | 37.0262
12 | 37.0262
8 | 37.0262
5 | 53.7336

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 10
utility for rounded alloc | utility: 
0 | 6.38
4.81 | 16.2
7.52 | 28.2
0 | 35
4.9 | 42.1
10 | 46.0225
9 | 53.7336
5 | 78.5942
9 | 46.0225
6 | 53.7336

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 10
utility for rounded alloc | utility: 
6.93017 | 27.5
23.2 | 57.3
15.9 | 77.2
5.06 | 94.2
3.64 | 109
9 | 46.0225
8 | 46.0225
11 | 46.0225
6 | 66.0083
9 | 37.0262

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 10
utility for rounded alloc | utility: 
21.8439 | 31
27.5 | 61.9
19.9 | 86.5
13.3 | 109
8.85 | 131
11 | 46.0225
6 | 53.7336
8 | 46.0225
5 | 46.0225
13 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 10
utility for rounded alloc | utility: 
10.4767 | 45
18.3 | 75.4
